Security Code,Issuer Name,Security Id,Security Name,ISIN No
539544,Abhishek Infraventures Limited,ABHIINFRA,Abhishek Infraventures Ltd,INE281P01016
539545,Apoorva Leasing Finance & Investment Company Limited,APOORVA,Apoorva Leasing Finance and Investment Company Ltd,INE217S01014
539546,Beekay Niryat Limited,BNL,Beekay Niryat Ltd,INE679E01015
539551,Narayana Hrudayalaya Limited,NH,Narayana Hrudayalaya Ltd,INE410P01011
539552,F MEC INTERNATIONAL FINANCIAL SERVICES LIMITED,FMEC,F Mec International Financial Services Ltd,INE108T01013
539559,Deep Diamond India Limited,DDIL,Deep Diamond India Ltd,INE005G01026
539560,Abhijit Trading Co. Ltd.,ABHIJIT,Abhijit Trading Company Ltd,INE994N01019
539561,REMEDIUM LIFECARE LIMITED,REMLIFE,Remedium Lifecare Ltd,INE549S01010
539562,AARNAV FASHIONS LIMITED,AARNAV,Aarnav Fashions Ltd,INE750R01016
539574,Sunshine Capital Ltd.,SCL,Sunshine Capital Ltd,INE974F01017
539584,SHARANAM INFRAPROJECT AND TRADING LIMITED,SIPTL,Sharanam Infraproject and Trading Ltd,INE104S01022
539593,Shivansh Finserv Limited,SHIVA,Shivansh Finserve Ltd,INE728Q01014
539594,Mishtann Foods Limited,MISHTANN,Mishtann Foods Ltd,INE094S01041
539596,Delta Industrial Resources Limited,DELTA,Delta Industrial Resources Ltd,INE681Q01015
539598,Oracle Credit Limited,ORACLECR,Oracle Credit Ltd,INE727C01016
539599,Kotia Enterprises Limited,KEL,Kotia Enterprises Ltd,INE079C01012
539600,CHAMAK HOLDINGS LIMITED,CHAMAK,Chamak Holdings Ltd,INE049R01013
539607,Blue Cloud Softech Solutions Limited,BLUECLOUDS,Blue Cloud Softech Solutions Ltd,INE373T01039
539620,A Infrastructure Limited,AINFRA,A Infrastructure Ltd,INE534E01020
539621,BCL Enterprises Limited,BCLENTERPR,BCL Enterprises Ltd,INE368E01023
539636,Precision Camshafts Limited,PRECAM,Precision Camshafts Ltd,INE484I01029
539658,TeamLease Services Limited,TEAMLEASE,TeamLease Services Ltd,INE985S01024
539659,Vidli Restaurants Limited,VIDLI,Vidli Restaurants Ltd,INE564S01019
539660,BEST AGROLIFE LIMITED,BESTAGRO,Best Agrolife Ltd,INE052T01013
539661,ACE MEN ENGG WORKS LIMITED,ACEMEN,Ace Men Engg Works Ltd,INE023R01018
539662,BFL Asset Finvest Limited,BFLAFL,BFL Asset Finvest Ltd,INE948Q01018
539673,Radhagobind Commercial Limited,RCL,Radhagobind Commercial Ltd,INE792P01012
539678,Quick Heal Technologies Limited,QUICKHEAL,Quick Heal Technologies Ltd,INE306L01010
539680,Ganga Pharmaceuticals Limited,GANGAPHARM,Ganga Pharmaceuticals Ltd,INE615T01017
539681,dynamic Archistructures Limited,DAL,Dynamic Archistructures Ltd,INE874E01012
539682,LUCENT INDUSTRIES LIMITED,LUCENT,Lucent Industries Ltd,INE622Q01019
539683,Shivkamal Impex Limited,SHIVKAMAL,Shivkamal Impex Ltd,INE429R01017
539686,K.P. Energy Limited,KPEL,K.P. Energy Ltd,INE127T01021
539692,INTERACTIVE FINANCIAL SERVICES LIMITED,IFINSER,Interactive Financial Services Ltd,INE064T01018
539697,HILIKS TECHNOLOGIES LIMITED,HILIKS,Hiliks Technologies Ltd,INE966Q01010
539725,Gokul Agro Resources Ltd,GOKULAGRO,Gokul Agro Resources Ltd,INE314T01025
539730,Fredun Pharmaceuticals Limited,FREDUN,Fredun Pharmaceuticals Ltd,INE194R01017
539742,Simbhaoli Sugars Ltd,SIMBHALS,Simbhaoli Sugars Ltd,INE748T01016
539760,Relicab Cable Manufacturing Limited,RELICAB,Relicab Cable Manufacturing Ltd,INE773T01014
539761,Vantage Knowledge Academy Limited,VKAL,Vantage Knowledge Academy Ltd,INE427T01017
539762,Modern Converters Limited,MODCL,Modern Converters Ltd,INE250S01015
539767,Mega Nirman & Industries Limited,MNIL,Mega Nirman and Industries Ltd,INE216Q01010
539773,Advik Capital Limited,ADVIKCA,Advik Capital Ltd,INE178T01024
539784,LIC Mutual Fund,LICNFNHGP,LIC MF Exchange Traded Fund- NIFTY 100,INF767K01PC8
539785,Pudumjee Paper Products Limited,PDMJEPAPER,Pudumjee Paper Products Ltd,INE865T01018
539787,HealthCare Global Enterprises Limited,HCG,HealthCare Global Enterprises Ltd,INE075I01017
539788,Khemani Distributors & Marketing Limited,KDML,Khemani Distributors & Marketing Ltd,INE030U01025
539798,Umiya Tubes Limited,UMIYA,Umiya Tubes Ltd,INE173U01015
539799,Bharat Wire Ropes Limited,BHARATWIRE,Bharat Wire Ropes Ltd,INE316L01019
